naId,recordGroup,level,status,exemptions,securityClassification,note,coverageStart,coverageEnd,title
7542293,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"118) SNIE 11-9A-59, 8 Sept 59, Probable Soviet Position on Nuclear Weapons Testing"
7553431,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"16) NIE 11-6-62, 28 May 62, Trends in Soviet Science and Technology"
7579470,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to F. Wisner from Kirk re: Ruling from IRS on Tax Deduction for Contributions to Education Aid Fund, 5/6/65"
7553385,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"24) NIE 11-9-71, 15 Apr 71, Soviet Policy in Asia"
7579596,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"MFR from Kirk Regarding Discussion with Mr. Coyne re: FBI, 12/3/59"
1374246,263,fileUnit,Restricted - Partly,,,"Many documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,"Buinauskas, Petra"
7542675,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NI IIM 87-10004C, May 87, Soviet Foreign Military Assistance"
7542434,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"26) SNIE 11-14-61, The Soviet Strategic Military Posture, 1961-1967"
7553276,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"42) SE 38, 24 Apr 53, Soviet Bloc Capabilities and Probable Courses of Action in Electromagnetic Warfare"
7579534,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to Dulles from Kirk re: Very Generous Check, 1/18/65"
1284074,263,series,Restricted - Partly,FOIA (b)(1) National Security,Secret,"Most documents have been declassified, but some are still classified and unavailable for research. Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,Press Information Reports and Digests
1374948,263,fileUnit,Restricted - Partly,,,"Many documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,"Zickus, Povilas"
7542641,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"IIR, Nov 74, Prospects for Soviet Success in Improving Detection of Submarines in Open Ocean Areas"
7553419,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"4) SNIE 11-9-61, 25 Apr 61, The Possibility of Soviet Nuclear Testing During the Moratorium"
7553653,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"52) NI IIM 83-10005JX, Dec 83, Soviet Wartime Management: The Role of Civil Defense in Leadership Continuity"
7579531,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,Story of Our Educational Aid Fund Booklet
102260465,263,series,Restricted - Fully,FOIA (b)(1) National Security,Top Secret,,,,Historical Files
7542380,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"24) NIE 11-63, 22 May 63, Main Trends in Soviet Foreign Policy"
7542520,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"37) Memo to Holders of NIE 11-8-68, Soviet Strategic Attack Forces"
7553420,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"5) NIE 15-61, 23 May 61, Outlook for Yugoslavia"
7553571,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"29) NIE 11-14-67, 16 Nov 67, The Soviet and East European General Purpose Forces"
25777722,263,series,Restricted - Partly,FOIA (b)(1) National Security,Secret,This series has undergone a comprehensive declassification review and most documents have been declassified. A few individual documents within the series remain classified and unavailable for research. Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the few documents that could not be declassified at the time of the comprehensive review.,,,Broadcast Station and Program Notes
7553298,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"64) SNIE 11-7-54, 17 Aug 54, Soviet Gross Capabilities for Attacks on the US and Key Overseas Installations Through 1 July 1957"
7553425,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"10) NIE 12-61, 9 Nov 61, The Outlook in Eastern Europe"
1251856,263,series,Restricted - Partly,FOIA (b)(1) National Security,Secret,"Most documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,Foreign Translations
7542306,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"4) SNIE 34-2-59, 3 Feb 59, Consequences of a Soviet-Iranian Nonaggression Pact"
7542447,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"39) NIE 11-8-66, 20 Oct 66, Soviet Capabilities for Strategic Attack"
7553293,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"59) NIE 10-54, 9 Mar 54, Soviet Bloc Economic Warfare Capabilities and Courses of Action"
7553341,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"107) NIE 12-6-58, 16 Sept 58, The Outlook in Poland"
7542368,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"12) SNIE 10-62, 21 Feb 62, Communist Objectives, Capabilities, and Intentions in Southeast Asia"
7542348,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"46) SNIE 11/80/90-82, 25 Jun 82, Soviet Policies and Activities in Latin America and the Caribbean"
7542671,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-7-87, Aug 87, Soviet S&T Policies and Strategies Under Gorbachev"
7542188,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"13) SE 8, 6 Jul 51, Possible Communist Objectives in Proposing a Cease Fire in Korea"
7542190,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"15) SE 11, 17 Aug 51, Probability of a Communist Assault on Japan in 1951"
7542509,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"26) NIE 11-14-66, 13 Mar 67, Capabilities of Soviet General Purpose Forces"
7553665,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"NIE 11-12-66, 1 Dec 66, The Outlook for Sino-Soviet Relations"
7542364,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"8) SNIE 11-10/1-61, Soviet Tactics in the Berlin Crisis"
7542393,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"37) NIE 10-68, 4 Oct 68, Communist Military Assistance Programs in Less Developed Areas"
7542533,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"50) NIE 11-10-79, Oct 79, Soviet Military Capabilities to Project Power and Influence in Distant Areas"
1272708,263,series,Restricted - Partly,FOIA (b)(1) National Security,Secret,,,,Consolidated Translation Monthly Listings of Foreign Language Publications
1374262,263,fileUnit,Restricted - Partly,,,"Many documents have been declassified, but some are still classified and unavailable for research.  Withdrawal sheets giving information necessary for mandatory declassification review requests have replaced the classified documents in the open folders.",,,"Cukurs, Herberts"
7542215,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"40) SE 41, 8 Apr 53, Probable Communist Reactions to Certain Possible UN/US Military Courses of Action with Respect to the Korean War"
7542331,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"29) NIE 11-9-73, 1 Jun 73, The Soviet Approach to Summit II"
7553271,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"37) SE 37, 9 Mar 53, Probable Effects on the Soviet Bloc of Certain Courses of Action Directed at the Internal and External Commerce of Communist China"
7553374,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"13) NIE 11-65, 1 Jul 65, Soviet Politics After Khrushchev"
7542273,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"98) NIE 100-4-57, 9 Jul 57, Implications of Growing Nuclear Capabilities for the Communist Bloc and the Free World"
7542473,263,fileUnit,Restricted - Partly,FOIA (b)(1) National Security,,Many of the copies of documents in this series have been redacted by the Central Intelligence Agency.,,,"65) NIE 11-6-78, 12 Sept 78, Soviet Strategic Forces for Peripheral Attack"
7579462,263,fileUnit,Restricted - Fully,FOIA (b)(1) National Security,FOIA (b)(1) National Security,,,,"Letter to M. Miskovsky from Kirk re: That You Have Agreed to be Counsel to Education Aid Fund, 11/5/64"
